id,artist_name,name,format,comment,discogs_url,index_by
141,U2,Rattle And Hum,CD,null,https://www.discogs.com/U2-Rattle-And-Hum/release/5803708,null
142,Foo Fighters,There Is Nothing Left To Lose,CD,null,https://www.discogs.com/Foo-Fighters-There-Is-Nothing-Left-To-Lose/release/7299282,null
143,Foo Fighters,The Colour And The Shape,CD,null,https://www.discogs.com/Foo-Fighters-The-Colour-And-The-Shape/release/391946,null
144,Alanis Morissette,MTV Unplugged,CD,null,https://www.discogs.com/Alanis-Morissette-MTV-Unplugged/release/369087,Morissette
145,Placebo,Meds,CD,null,https://www.discogs.com/Placebo-Meds/release/6328849,null
147,Suede,Coming Up,CD,null,https://www.discogs.com/Suede-Coming-Up/release/3546793,null
146,Stereophonics,Performance And Cocktails,CD,null,https://www.discogs.com/Stereophonics-Performance-And-Cocktails/release/10440868,null
148,Ultra Bra,Sinä Päivänä Kun Synnyin,CD,null,https://www.discogs.com/Ultra-Bra-Sin%C3%A4-P%C3%A4iv%C3%A4n%C3%A4-Kun-Synnyin/release/385508,null
149,Metallica,Load,CD,null,https://www.discogs.com/Metallica-Load/release/5535088,null
150,Led Zeppelin,Houses Of The Holy,CD,null,https://www.discogs.com/Led-Zeppelin-Houses-Of-The-Holy/release/8519120,null
151,Oasis,The Masterplan,CD,null,https://www.discogs.com/Oasis-The-Masterplan/release/13919996,null
152,Red Hot Chili Peppers,One Hot Minute,CD,null,https://www.discogs.com/The-Red-Hot-Chili-Peppers-One-Hot-Minute/release/3469805,null
153,Foo Fighters,"Echoes, Silence, Patience & Grace",CD,null,https://www.discogs.com/Foo-Fighters-Echoes-Silence-Patience-Grace/release/1152770,null
154,Foo Fighters,Greatest Hits,CD,null,https://www.discogs.com/Foo-Fighters-Greatest-Hits/release/3470296,null
155,U2,Achtung Baby,CD,null,https://www.discogs.com/U2-Achtung-Baby/release/3425759,null
1,Extreme,III Sides To Every Story,CD,null,https://www.discogs.com/Extreme-III-Sides-To-Every-Story/release/7696961,null
